epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,700.981,1.56464,3.18785,2.51896,1.58023,0,0.06773,0.36318,0.04173,0.01409,0.06348,0.33333,0.03777,0.01254,2.40824,5.41066,30.7448,2.76626,0,0.000654762,0.000654762,0.000654762
2,780.431,1.6172,2.86561,1.79371,1.62692,0,0.00681,0.28856,0.00443,0.00126,0.00528,0.22388,0.00292,0.0007,3.46668,nan,inf,28.1362,0,0.00129526,0.00129526,0.00129526
3,860.885,1.7083,2.93715,1.89752,1.68832,0,0.03951,0.1194,0.01622,0.00451,0.02581,0.06965,0.00541,0.00161,2.62975,8.35618,7.96687,3.70505,0,0.00190937,0.00190937,0.00190937
4,945.343,1.67977,2.91555,1.87628,1.68511,0,0.23969,0.18905,0.10941,0.04381,0.22707,0.1791,0.09119,0.03312,1.81158,4.7629,6.0987,2.03093,0,0.0018812,0.0018812,0.0018812
5,1026.27,1.60994,2.83246,1.76981,1.62656,0,0.46678,0.43117,0.39947,0.19622,0.47463,0.43781,0.40849,0.18947,1.52272,3.20933,2.69228,1.66602,0,0.0018416,0.0018416,0.0018416
6,1109.09,1.56628,2.74255,1.70372,1.59661,0,0.35558,0.44776,0.33978,0.14118,0.38797,0.38806,0.33262,0.13587,2.06202,3.52996,2.22024,2.2162,0,0.001802,0.001802,0.001802
7,1194.39,1.51008,2.64813,1.61312,1.55441,0,0.55994,0.42289,0.44251,0.20486,0.54015,0.39801,0.40489,0.19348,1.68376,3.22854,2.19025,1.7893,0,0.0017624,0.0017624,0.0017624
8,1277.4,1.46961,2.55488,1.53556,1.52066,0,0.50211,0.35323,0.35567,0.19554,0.50431,0.35323,0.34021,0.18978,1.73758,3.18966,1.96695,1.85001,0,0.0017228,0.0017228,0.0017228
9,1359.09,1.42569,2.53229,1.49419,1.49508,0,0.62636,0.51741,0.56433,0.28701,0.64333,0.52049,0.55572,0.28718,1.47479,2.35605,1.72269,1.67187,0,0.0016832,0.0016832,0.0016832
10,1441.09,1.43172,2.5323,1.47687,1.49504,0,0.63153,0.48259,0.54456,0.28854,0.62253,0.48411,0.5173,0.28427,1.35793,2.34713,1.45086,1.47639,0,0.0016436,0.0016436,0.0016436
11,1523.94,1.4025,2.45861,1.44777,1.47383,0,0.42274,0.28358,0.26637,0.11599,0.4003,0.28358,0.24935,0.1028,1.83332,3.3845,2.62118,1.97586,0,0.001604,0.001604,0.001604
12,1604.53,1.40158,2.42781,1.39452,1.47228,0,0.58213,0.49254,0.53328,0.29463,0.55468,0.53913,0.5359,0.28995,1.42782,2.35531,1.54861,1.5718,0,0.0015644,0.0015644,0.0015644
13,1686.38,1.35462,2.38795,1.35789,1.44885,0,0.73007,0.55224,0.59871,0.32028,0.72131,0.54229,0.57549,0.29928,1.29553,2.30118,1.39933,1.50473,0,0.0015248,0.0015248,0.0015248
14,1771.29,1.33416,2.37335,1.34062,1.44776,0,0.70317,0.55721,0.62367,0.34786,0.64659,0.56435,0.61375,0.35177,1.31725,2.4116,1.37654,1.55245,0,0.0014852,0.0014852,0.0014852
15,1852.55,1.34703,2.3446,1.32454,1.43421,0,0.64855,0.54229,0.60087,0.32147,0.66045,0.55224,0.60611,0.31514,1.40675,2.36156,1.42822,1.51031,0,0.0014456,0.0014456,0.0014456
16,1935.25,1.29176,2.28805,1.25667,1.40936,0,0.6442,0.57651,0.58054,0.29412,0.61022,0.58706,0.56959,0.2822,1.35479,2.37372,1.3908,1.53784,0,0.001406,0.001406,0.001406
